,shoes_laceup,body_spaghettistraps,top_tanksleeve_tshirtneck,pants_denim,eyewear_squaredglassesshape
2015-01-05,0.059473590398669125,0.0016041827580060603,0.002376567048897867,0.024240983898758242,0.0026142237537876535
2015-01-12,0.07106749564352392,0.001620883035660095,0.0015612169134920583,0.023860799535812036,0.0031868609617776954
2015-01-19,0.07755364261823956,0.0011571121964018465,0.0017682295020711167,0.027624708855379335,0.002159509531475874
2015-01-26,0.06171469994295485,0.0010668832299602733,0.0024471055185063518,0.029949950281903854,0.0020324787459463324
2015-02-02,0.06073650657081753,0.001117859594646787,0.0018543473798824533,0.03059014216805856,0.0033293199512461095
2015-02-09,0.05634343686832263,0.0018059323023811207,0.0013374738744545214,0.027979778957919105,0.0017000021843120213
2015-02-16,0.054229770509706995,0.0014460552095434155,0.0018561285410740604,0.02481130989571874,0.002019359022760846
2015-02-23,0.052768748673438184,0.0011083588617158578,0.0021042422009022264,0.023933520183370867,0.002513766829842002
2015-03-02,0.060171064327587245,0.0007758952448766315,0.0025873801092410028,0.02870503174904036,0.001744650065650075
2015-03-09,0.06781189629992286,0.0013276610527229616,0.002214437546908831,0.031821479429329995,0.002672125641027768
2015-03-16,0.06606466789208304,0.0017847521665747246,0.001953376145810348,0.034453970778955,0.002080776870215112
2015-03-23,0.07422025745904944,0.0009641951227476132,0.0023849300141536235,0.03125124063126311,0.0021807369308136674
2015-03-30,0.07472798793096427,0.0007267072269579768,0.0019134559135602787,0.03266604091575691,0.002498685427021462
2015-04-06,0.06995888433556495,0.0010092373302393375,0.0019312295173838723,0.03377997225228646,0.0035682287833334525
2015-04-13,0.06913464568808549,0.0009094301544444916,0.0027808468867442167,0.03539961834276697,0.0029566629669729215
2015-04-20,0.07090871072151754,0.0016579370434889444,0.002461632353589268,0.03537619016616859,0.0025424360628076605
2015-04-27,0.07100177220551143,0.0009956394832606958,0.002133960735291256,0.03923886139600554,0.003000191775866555
2015-05-04,0.06348405634913516,0.0012966863451570093,0.002455160467758884,0.03552321530605035,0.0026822140189910883
2015-05-11,0.0640323657392299,0.001325761904293919,0.0036745750455602034,0.03227084451708641,0.0028431691760781442
2015-05-18,0.06853207544499268,0.0020146021904014983,0.0028564459920862634,0.036402148645095445,0.002483817023536738
2015-05-25,0.06610930373700748,0.0018058847532572554,0.0031267741358250176,0.03405267941963811,0.0025641811341254516
2015-06-01,0.062089556141741706,0.0014507552989426176,0.003167496586673273,0.0316785034928696,0.0031216166084197705
2015-06-08,0.06820836696790723,0.0012369374303309966,0.005445846623886162,0.029003879605751577,0.0032503613913821396
2015-06-15,0.06943742549694275,0.0019449269881925248,0.004071884838430687,0.025897533108576343,0.002849720874644376
2015-06-22,0.06971567986095265,0.0017319604082799952,0.003874023784358192,0.025603472905793172,0.0019163778035980608
2015-06-29,0.05648160848319869,0.001988800628919133,0.005092689901501388,0.020705674848749897,0.0027734519980303755
2015-07-06,0.05488726479649305,0.00265125466215288,0.004008443852148672,0.020742326319756324,0.003338374336772135
2015-07-13,0.060381331988597665,0.0027073535618825887,0.004618887416441682,0.023647266796609077,0.0030103143882058664
2015-07-20,0.058143583846845356,0.0023320137555894395,0.004842375976773424,0.02267404376593276,0.00297160432923415
2015-07-27,0.05536923255633017,0.002983138016857481,0.00442431767061954,0.025089924819913643,0.002896289886958489
2015-08-03,0.05219794211680481,0.0021492680657173337,0.004615778640144397,0.019565181528854815,0.002905431081985089
2015-08-10,0.056276590228223344,0.0028770643104785326,0.0038482745025104712,0.018816092055357635,0.00336149343993511
2015-08-17,0.05824095028891148,0.002369940499980814,0.004207090829786248,0.022655405447676833,0.004857947868578691
2015-08-24,0.065330392457665,0.0024309997630430572,0.0028877536792037604,0.024074775312339973,0.002621690397858882
2015-08-31,0.07328991317727744,0.001608940279856426,0.004144669069667449,0.03041565572620521,0.002421244541969433
2015-09-07,0.06682332465340766,0.002429058658498775,0.003376884334871393,0.03164193124263298,0.001831464703699018
2015-09-14,0.07165760789457631,0.001575110080431516,0.0030848558586793785,0.030257990645600676,0.002184114782481551
2015-09-21,0.06911396834645514,0.0011635637083961823,0.0030322116178641205,0.028779163840216726,0.002508051392790725
2015-09-28,0.07429797340294061,0.0007210519207049464,0.0021491506111553193,0.029665171018334078,0.001681856815711627
2015-10-05,0.07386233381294953,0.0016209350684930255,0.002136438563021303,0.03148578671475671,0.001707765986187505
2015-10-12,0.07260616866104275,0.0011888577105785183,0.002738337210687216,0.032969792930693353,0.0018706474029403972
2015-10-19,0.07327575697493924,0.000967887686402015,0.0016508695342006578,0.03420084190805853,0.0018366120539166182
2015-10-26,0.0696029226462126,0.0008072725980978407,0.001695880273403917,0.030019718787255536,0.0018386332299396317
2015-11-02,0.06509107184042139,0.0012900011855754253,0.001888952811811964,0.03121926991845932,0.0019470988443828071
2015-11-09,0.0645028688794748,0.0008271745034207176,0.002102763732924479,0.031225910463434474,0.0022600358454605628
2015-11-16,0.06418927890623574,0.0006917945066279394,0.0017419115370612757,0.03258815981820749,0.0018525076549218266
2015-11-23,0.06133375085683829,0.0010865641346203584,0.0018563927126189574,0.03095960898925799,0.001921174626595792
2015-11-30,0.05940568520925679,0.0015411366292006274,0.0018160790117001347,0.027446948502614373,0.0016518021739580344
2015-12-07,0.05678300960038721,0.0020405943161508106,0.002269151702268463,0.028840445431873078,0.00173589195955824
2015-12-14,0.0561985897365438,0.001667270119283921,0.00110268533040244,0.025530061113703147,0.0011311587382352541
2015-12-21,0.05576445781334273,0.0005483699019716683,0.0014441584682189485,0.028565433751840705,0.0018379261905498345
2015-12-28,0.046107800201805466,0.0006551100301665546,0.0014428745093328895,0.02432088665816643,0.0019047423851167953
2016-01-04,0.07289515643486956,0.001274542468915397,0.0016484873270844838,0.03259625016384936,0.002855868205751034
2016-01-11,0.0735899024911183,0.0009901149418486191,0.0013093044797068327,0.028680811029205673,0.0019413484593644023
2016-01-18,0.07612628012544806,0.0012196838422505346,0.0014356366491556924,0.03093465538964953,0.0016139497826243724
2016-01-25,0.062351321467417675,0.0016442340791389147,0.0016504440583876654,0.02914910934128164,0.0016604485385514772
2016-02-01,0.0643009273624269,0.002001252387569955,0.0016973771186777264,0.03297022211949932,0.001972428987403933
2016-02-08,0.06004689992647548,0.001458518941480579,0.0012571902020457127,0.03209203377834669,0.00152868806401166
2016-02-15,0.06601401843953755,0.000927890502456057,0.00164359095355703,0.029476703719978504,0.0017136344254723597
2016-02-22,0.06776962623507096,0.0013499673702128247,0.0012126708865205825,0.029678322957053384,0.0015544400282124788
2016-02-29,0.07360187707026125,0.0007061701355011148,0.001098210581918496,0.032386229401235055,0.002163536310281452
2016-03-07,0.07621411007624689,0.0010391140983032619,0.0016982665036562733,0.03418190736603094,0.0016066409991059491
2016-03-14,0.07431312674395582,0.0010021561525370463,0.0016149451784096016,0.038095219983311224,0.0020926519089545896
2016-03-21,0.07745834286637077,0.0015410612768699346,0.001559183093831921,0.039498393355655144,0.0021172585280004467
